count,ax,ay,az,gx,gy,gz
0,-764,-604,18632,-836,-178,-94
1,-704,-612,18704,-827,-157,-128
2,-696,-464,18780,-863,-136,-95
3,-720,-428,18628,-841,-134,-115
4,-700,-536,18716,-802,-98,-95
5,-716,-524,18556,-802,-100,-114
6,-672,-608,18696,-821,-66,-111
7,-668,-464,18720,-825,-57,-125
8,-592,-480,18560,-801,-48,-108
9,-656,-528,18744,-800,-38,-139
10,-684,-452,18692,-792,-53,-144
11,-708,-436,18708,-806,-85,-122
12,-772,-476,19088,-849,-218,-115
13,-724,-560,18416,-777,-68,-135
14,-684,-488,18776,-804,-209,-114
15,-784,-516,18752,-802,-134,-101
16,-636,-536,18616,-814,-210,-120
17,-604,-468,18736,-832,-217,-95
18,-620,-424,18796,-817,-212,-93
19,-736,-468,18688,-833,-239,-110
20,-584,-572,18740,-831,-247,-94
21,-568,-564,18680,-803,-186,-93
22,-512,-532,18712,-813,-192,-72
23,-480,-532,18552,-805,-101,-89
24,-568,-504,18684,-815,-72,-97
25,-408,-600,18688,-822,17,-91
26,-400,-532,18784,-755,97,-91
27,-392,-508,18600,-798,204,-84
28,-384,-524,18676,-801,317,-78
29,-392,-512,18824,-810,355,-96
30,-396,-480,18572,-804,458,-76
31,-404,-564,18816,-819,554,-70
32,-356,-516,18696,-830,636,-81
33,-428,-604,18608,-816,737,-54
34,-476,-544,18532,-801,809,-46
35,-568,-576,18772,-764,919,-58
36,-508,-512,18736,-796,1016,-90
37,-656,-552,18592,-787,1112,-77
38,-552,-532,18676,-795,1142,-86
39,-676,-508,18824,-797,1164,-110
40,-708,-580,18660,-816,1169,-77
41,-808,-480,18764,-786,1143,-93
42,-960,-544,18676,-784,1081,-94
43,-828,-392,18756,-755,1003,-78
44,-1044,-468,18912,-758,891,-124
45,-1096,-540,18620,-773,786,-93
46,-1040,-484,18728,-800,678,-99
47,-1184,-616,18664,-814,542,-100
48,-1152,-452,18728,-808,416,-107
49,-1120,-588,18640,-793,255,-98
50,-1052,-476,18764,-780,116,-111
51,-1152,-548,18404,-787,-40,-98
52,-1128,-592,18560,-802,-189,-93
53,-1084,-516,18768,-797,-313,-100
54,-1000,-480,18696,-802,-429,-87
55,-1032,-628,18628,-823,-544,-100
56,-1132,-448,18632,-821,-669,-127
57,-1056,-444,18596,-762,-850,-130
58,-1056,-524,18740,-734,-986,-112
59,-1152,-456,18632,-736,-1242,-131
60,-1228,-636,18600,-761,-1424,-136
61,-1328,-524,18888,-820,-1705,-130
62,-1236,-456,18696,-798,-2048,-132
63,-1192,-372,18588,-795,-2327,-124
64,-1164,-380,18508,-696,-2835,-149
65,-1056,-576,18780,-765,-2893,-86
66,-1228,-548,19120,-907,-3434,-105
67,-1072,-524,18608,-957,-3653,-108
68,-892,-480,18648,-869,-3965,-142
69,-740,-428,18624,-792,-4246,-120
70,-612,-504,18688,-849,-4568,-134
71,-756,-520,18912,-982,-4806,-113
72,-440,-456,18764,-1064,-5042,-178
73,-28,-640,18232,-944,-5472,-153
74,-88,-376,18744,-944,-5548,-144
75,76,-432,18656,-957,-5755,-143
76,228,-348,18664,-958,-5858,-180
77,644,-636,18840,-800,-6098,-178
78,504,-596,18836,-794,-6131,-197
79,1236,-492,18652,-814,-6363,-107
80,936,-648,18496,-708,-6646,2
81,952,-396,18948,-793,-6866,228
82,908,-636,18456,-754,-7364,301
83,1384,-648,18536,-576,-7579,478
84,1932,-424,18636,-625,-7986,731
85,5604,-1168,21496,-356,-6804,719
86,-456,892,17832,-1346,-7453,183
87,1476,-580,18128,-1337,-8251,-465
88,2540,-384,18492,-1017,-7461,-328
89,2520,-468,18452,-851,-8060,-148
90,2572,-416,18400,-903,-7975,-155
91,3056,-648,18532,-796,-8172,-149
92,3976,-216,18412,-530,-8286,-218
93,4780,-32,18396,-624,-8200,-529
94,5136,-656,18140,-795,-8490,-920
95,4928,1704,17528,-1211,-7681,-924
96,5656,-1524,17676,-598,-4444,582
97,6028,-944,18828,-785,-4669,-265
98,7452,-448,17952,-960,-3043,-516
99,5876,-632,17760,-1095,-1278,-200
100,7068,-516,17816,-863,-33,13
101,7180,-340,18404,-960,1049,-110
102,6480,-748,17640,-934,2664,41
103,6240,-548,17944,-905,3728,-6
104,6340,-520,18156,-993,4536,-203
105,4768,-672,17512,-1092,6376,-571
106,5180,-468,18396,-645,6427,-663
107,4220,-376,18500,-765,7062,-498
108,3768,-404,18684,-876,7468,-646
109,3428,-416,18608,-965,7501,-708
110,2784,-648,18252,-801,7628,-746
111,2520,-424,18496,-617,7785,-675
112,2516,-328,18540,-677,7403,-696
113,2228,-564,18736,-761,7477,-653
114,1844,-500,18716,-661,7570,-465
115,1904,-660,18488,-497,7253,-272
116,1796,-672,18348,-584,7457,-233
117,1700,-708,18528,-659,7531,-147
118,1468,-460,18888,-793,7589,31
119,1332,-392,18504,-672,7412,35
120,1228,-432,18444,-565,7336,-51
121,988,-476,18616,-557,7262,-52
122,892,-616,18796,-633,7169,-4
123,696,-572,18716,-733,7050,55
124,404,-592,18536,-724,6942,63
125,136,-504,18480,-647,6957,137
126,-228,-520,18508,-537,7038,175
127,-108,-316,18732,-557,6881,416
128,-956,-652,18808,-666,6830,674
129,-3740,-76,17308,-696,6596,440
130,216,-524,19348,-744,5034,-811
131,-1732,-988,17592,-268,5595,-619
132,-1408,-576,18388,-182,5146,-831
133,-1316,-616,19304,-497,4899,-1115
134,-1492,-1144,19872,-1004,3571,-760
135,-1464,-164,18572,-1096,3143,-398
